 WAVE                EFF
----- ------------------
3000. 1.1677999800646E-6
3002. 1.2514428758406E-6
3004. 1.3406326432686E-6
3006. 1.4357298901851E-6
3008. 1.5370779281287E-6
3010. 1.6450504549295E-6
3012. 1.7600408618405E-6
3014. 1.8824804309113E-6
3016. 2.0128081442814E-6
3018. 2.1514857937392E-6
3020. 2.2989777879527E-6
3022. 2.4558127976633E-6
3024. 2.6225267781546E-6
3026. 2.7996825765598E-6
3028. 2.9878710296923E-6
3030. 3.1877414510386E-6
3032. 3.3999186145937E-6
3034. 3.6250845619959E-6
3036. 3.8639540307608E-6
3038. 4.1173515399577E-6
3040. 4.3859950238632E-6
3042. 4.6707487742794E-6
3044. 4.9724344895292E-6
3046. 5.2920485427925E-6
3048. 5.6304973130007E-6
3050. 5.9887733735408E-6
3052. 6.3679139912928E-6
3054. 6.7690650166347E-6
3056. 7.1933032328185E-6
3058. 7.6418100284573E-6
3060. 8.1159673595814E-6
3062. 8.6169293434306E-6
3064. 9.1460370692420E-6
3066. 9.7048665466092E-6
3068. 1.0294810645061E-5
3070. 1.0917302467453E-5
3072. 1.1574134019808E-5
3074. 1.2266985588527E-5
3076. 1.2997367150538E-5
3078. 1.3767310353323E-5
3080. 1.4578572525683E-5
3082. 1.5433381220364E-5
3084. 1.6333503459287E-5
3086. 1.7281036858250E-5
3088. 1.8278494674949E-5
3090. 1.9328014323969E-5
3092. 2.0431969563601E-5
3094. 2.1592623331637E-5
3096. 2.2813124269517E-5
3098. 2.4095520091435E-5
3100. 2.5442982802945E-5
3102. 2.6858386845343E-5
3104. 2.8344709192846E-5
3106. 2.9904756246356E-5
3108. 3.1541962283517E-5
3110. 3.3259317208043E-5
3112. 3.5060824906642E-5
3114. 3.6949716449684E-5
3116. 3.8929987943689E-5
3118. 4.1004697028201E-5
3120. 4.3178457558744E-5
3122. 4.5454911809549E-5
3124. 4.7838625501197E-5
3126. 5.0333918843167E-5
3128. 5.2944758763373E-5
3130. 5.5676686445488E-5
3132. 5.8533428754173E-5
3134. 6.1520339873181E-5
3136. 6.4643023951711E-5
3138. 6.7905473047253E-5
3140. 7.1314209109660E-5
3142. 7.4874086618927E-5
3144. 7.8591428165127E-5
3146. 8.2472089882469E-5
3148. 8.6521291703523E-5
3150. 9.0745931798988E-5
3152. 9.5152347978837E-5
3154. 9.9746124147004E-5
3156. 1.0453572213073E-4
3158. 1.0952710094431E-4
3160. 1.1472726370664E-4
3162. 1.2014448845110E-4
3164. 1.2578511275167E-4
3166. 1.3165665224629E-4
3168. 1.3776806077134E-4
3170. 1.4412736807361E-4
3172. 1.5074278669981E-4
3174. 1.5762126033961E-4
3176. 1.6477420482016E-4
3178. 1.7220740617455E-4
3180. 1.7993290772617E-4
3182. 1.8795831495034E-4
3184. 1.9629293068620E-4
3186. 2.0494812372413E-4
3188. 2.1393182965695E-4
3190. 2.2325594643025E-4
3192. 2.3293075562899E-4
3194. 2.4296449091932E-4
3196. 2.5336985773924E-4
3198. 2.6416012340938E-4
3200. 2.7534154176492E-4
3202. 2.8693028561711E-4
3204. 2.9893255273996E-4
3206. 3.1136529216740E-4
3208. 3.2424057328872E-4
3210. 3.3756754542223E-4
3212. 3.5136150738389E-4
3214. 3.6563507104869E-4
3216. 3.8039752109585E-4
3218. 3.9566868395350E-4
3220. 4.1145452846259E-4
3222. 4.2777183048864E-4
3224. 4.4463811172384E-4
3226. 4.6206317201216E-4
3228. 4.8006074212762E-4
3230. 4.9864927953078E-4
3232. 5.1783853590051E-4
3234. 5.3764758904385E-4
3236. 5.5809123942491E-4
3238. 5.7917908945100E-4
3240. 6.0093667267491E-4
3242. 6.2336829179026E-4
3244. 6.4650051129039E-4
3246. 6.7033701745126E-4
3248. 6.9491181814685E-4
3250. 7.2022195685837E-4
3252. 7.4629611583047E-4
3254. 7.7315072882957E-4
3256. 8.0079494315270E-4
3258. 8.2925221121884E-4
3260. 8.5853917780521E-4
3262. 8.8867254173892E-4
3264. 9.1966057300733E-4
3266. 9.5153668792306E-4
3268. 9.8431855151930E-4
3270. 0.001018005127723
3272. 0.0010526316480508
3274. 0.0010882058171244
3276. 0.0011247547220391
3278. 0.0011622960690193
3280. 0.0012008475449146
3282. 0.0012404153773058
3284. 0.0012810278447209
3286. 0.0013227146360844
3288. 0.0013654692027192
3290. 0.0014093336460173
3292. 0.0014543130181385
3294. 0.0015004244184003
3296. 0.001547699047075
3298. 0.0015961550155231
3300. 0.0016457951506717
3302. 0.0016966671420256
3304. 0.0017487417537426
3306. 0.0018020833287543
3308. 0.0018566935013854
3310. 0.0019125893117287
3312. 0.0019698057012765
3314. 0.0020283421431068
3316. 0.0020882149292937
3318. 0.0021494598462336
3320. 0.0022120739148804
3322. 0.0022760934557956
3324. 0.0023415352660379
3326. 0.0024084158314905
3328. 0.0024767513056164
3330. 0.0025465340333606
3332. 0.0026178498020898
3334. 0.0026906432739648
3336. 0.002764952509129
3338. 0.0028408440001648
3340. 0.0029182550881191
3342. 0.0029972520966169
3344. 0.0030778499923662
3346. 0.003160063295855
3348. 0.0032439060590715
3350. 0.003329391843041
3352. 0.0034165336951996
3354. 0.0035053441266239
3356. 0.0035958350891367
3358. 0.0036880519203674
3360. 0.0037819731462676
3362. 0.003877644664232
3364. 0.0039750420856263
3366. 0.0040742118404131
3368. 0.0041751649248118
3370. 0.0042779117123725
3372. 0.0043824619315953
3374. 0.0044888246435374
3376. 0.0045970082194292
3378. 0.0047070636717821
3380. 0.0048189566324419
3382. 0.0049326933202119
3384. 0.005048325671875
3386. 0.0051658615733125
3388. 0.0052852595127701
3390. 0.0054065723622545
3392. 0.0055298057357462
3394. 0.0056550165495796
3396. 0.0057821058345419
3398. 0.0059111821714332
3400. 0.0060421402401577
3402. 0.0061751485422521
3404. 0.0063100989100025
3406. 0.0064469911582176
3408. 0.0065858848355402
3410. 0.0067267817805707
3412. 0.0068696197064448
3414. 0.0070145239346679
3416. 0.0071614317309631
3418. 0.0073103414072956
3420. 0.0074612503481605
3422. 0.0076141549928492
3424. 0.0077691223739802
3426. 0.0079260783232099
3428. 0.0080850908620893
3430. 0.0082461569815259
3432. 0.0084091953027485
3434. 0.0085742753752986
3436. 0.0087413913324994
3438. 0.0089106184123104
3440. 0.0090817862410265
3442. 0.0092550517661648
3444. 0.0094303231592668
3446. 0.0096076781280868
3448. 0.0097870196677814
