         Specfile SpType  Metal
 ---------------- ------  -----         
   pickles_1.fits    O5V  solar
   pickles_2.fits    O9V  solar
   pickles_3.fits    B0V  solar
   pickles_4.fits    B1V  solar
   pickles_5.fits    B3V  solar
   pickles_6.fits   B57V  solar
   pickles_7.fits    B8V  solar
   pickles_8.fits    B9V  solar
   pickles_9.fits    A0V  solar
  pickles_10.fits    A2V  solar
  pickles_11.fits    A3V  solar
  pickles_12.fits    A5V  solar
  pickles_13.fits    A7V  solar
  pickles_14.fits    F0V  solar
  pickles_15.fits    F2V  solar
  pickles_16.fits    F5V  solar
  pickles_17.fits    F5V   weak
  pickles_18.fits    F6V  solar
  pickles_19.fits    F6V   rich
  pickles_20.fits    F8V  solar
  pickles_21.fits    F8V   weak
  pickles_22.fits    F8V   rich
  pickles_23.fits    G0V  solar
  pickles_24.fits    G0V   weak
  pickles_25.fits    G0V   rich
  pickles_26.fits    G2V  solar
  pickles_27.fits    G5V  solar
  pickles_28.fits    G5V   weak
  pickles_29.fits    G5V   rich
  pickles_30.fits    G8V  solar
  pickles_31.fits    K0V  solar
  pickles_32.fits    K0V   rich
  pickles_33.fits    K2V  solar
  pickles_34.fits    K3V  solar
  pickles_35.fits    K4V  solar
  pickles_36.fits    K5V  solar
  pickles_37.fits    K7V  solar
  pickles_38.fits    M0V  solar
  pickles_39.fits    M1V  solar
  pickles_40.fits    M2V  solar
  pickles_41.fits  M2.5V  solar
  pickles_42.fits    M3V  solar
  pickles_43.fits    M4V  solar
  pickles_44.fits    M5V  solar
  pickles_45.fits    M6V  solar
  pickles_46.fits   B2IV  solar
  pickles_47.fits   B6IV  solar
  pickles_48.fits   A0IV  solar
  pickles_49.fits  A47IV  solar
  pickles_50.fits  F02IV  solar
  pickles_51.fits   F5IV  solar
  pickles_52.fits   F8IV  solar
  pickles_53.fits   G0IV  solar
  pickles_54.fits   G2IV  solar
  pickles_55.fits   G5IV  solar
  pickles_56.fits   G8IV  solar
  pickles_57.fits   K0IV  solar
  pickles_58.fits   K1IV  solar
  pickles_59.fits   K3IV  solar
  pickles_60.fits  O8III  solar
  pickles_61.fits B12III  solar
  pickles_62.fits  B3III  solar
  pickles_63.fits  B5III  solar
  pickles_64.fits  B9III  solar
  pickles_65.fits  A0III  solar
  pickles_66.fits  A3III  solar
  pickles_67.fits  A5III  solar
  pickles_68.fits  A7III  solar
  pickles_69.fits  F0III  solar
  pickles_70.fits  F2III  solar
  pickles_71.fits  F5III  solar
  pickles_72.fits  G0III  solar
  pickles_73.fits  G5III  solar
  pickles_74.fits  G5III   weak
  pickles_75.fits  G5III   rich
  pickles_76.fits  G8III  solar
  pickles_77.fits  G8III   weak
  pickles_78.fits  K0III  solar
  pickles_79.fits  K0III   weak
  pickles_80.fits  K0III   rich
  pickles_81.fits  K1III  solar
  pickles_82.fits  K1III   weak
  pickles_83.fits  K1III   rich
  pickles_84.fits  K2III  solar
  pickles_85.fits  K2III   weak
  pickles_86.fits  K2III   rich
  pickles_87.fits  K3III  solar
  pickles_88.fits  K3III   weak
  pickles_89.fits  K3III   rich
  pickles_90.fits  K4III  solar
  pickles_91.fits  K4III   weak
  pickles_92.fits  K4III   rich
  pickles_93.fits  K5III  solar
  pickles_94.fits  K5III   rich
  pickles_95.fits  M0III  solar
  pickles_96.fits  M1III  solar
  pickles_97.fits  M2III  solar
  pickles_98.fits  M3III  solar
  pickles_99.fits  M4III  solar
 pickles_100.fits  M5III  solar
 pickles_101.fits  M6III  solar
 pickles_102.fits  M7III  solar
 pickles_103.fits  M8III  solar
 pickles_104.fits  M9III  solar
 pickles_105.fits M10III  solar
 pickles_106.fits   B2II  solar
 pickles_107.fits   B5II  solar
 pickles_108.fits   F0II  solar
 pickles_109.fits   F2II  solar
 pickles_110.fits   G5II  solar
 pickles_111.fits  K01II  solar
 pickles_112.fits  K34II  solar
 pickles_113.fits   M3II  solar
 pickles_114.fits    B0I  solar
 pickles_115.fits    B1I  solar
 pickles_116.fits    B3I  solar
 pickles_117.fits    B5I  solar
 pickles_118.fits    B8I  solar
 pickles_119.fits    A0I  solar
 pickles_120.fits    A2I  solar
 pickles_121.fits    F0I  solar
 pickles_122.fits    F5I  solar
 pickles_123.fits    F8I  solar
 pickles_124.fits    G0I  solar
 pickles_125.fits    G2I  solar
 pickles_126.fits    G5I  solar
 pickles_127.fits    G8I  solar
 pickles_128.fits    K2I  solar
 pickles_129.fits    K3I  solar
 pickles_130.fits    K4I  solar
 pickles_131.fits    M2I  solar
